,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
ddmc,0,286.09006810032304,9.284239555740498,0.0,0.8517888487695131,33.30473203342702,0.0,True,log
ddma,1,284.7960909153139,7.2315987325520155,1.2939771850091155,0.14821115123047193,33.45575171507552,1.9283120040393307,True,log
ddmb,2,284.6194415544911,8.517953931184536,1.470626545831994,4.109366813102416e-16,33.35857188275935,1.6619753368362638,True,log
ddmd,3,284.4880529070889,10.401798441303868,1.6020151932341733,1.454392162258955e-14,33.27705883483684,0.3210031220068079,True,log
