,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.532,0.013,0.511,0.559,0.0,0.0,793.0,735.0,1.0
t,0.19,0.003,0.185,0.195,0.0,0.0,1007.0,761.0,1.0
v_signed_contrast,7.279,0.366,6.559,7.881,0.013,0.012,769.0,635.0,1.0
v_Intercept,-0.174,0.087,-0.355,-0.027,0.003,0.002,822.0,692.0,1.0
a,0.562,0.01,0.543,0.581,0.0,0.0,757.0,696.0,1.0
