,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.564,0.165,0.226,0.871,0.004,0.005,1475.0,937.0,1.0
z_Intercept,0.466,0.012,0.446,0.492,0.0,0.0,782.0,710.0,1.0
t,0.144,0.002,0.14,0.148,0.0,0.0,720.0,802.0,1.01
v_signed_contrast,7.181,0.364,6.495,7.87,0.012,0.011,898.0,622.0,1.0
v_Intercept,-0.687,0.12,-0.908,-0.455,0.004,0.003,928.0,784.0,1.0
a,0.521,0.011,0.502,0.542,0.0,0.0,661.0,710.0,1.01
