,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.255,0.122,0.047,0.497,0.005,0.004,649.0,763.0,1.01
z_Intercept,0.547,0.017,0.515,0.578,0.001,0.0,566.0,782.0,1.01
t,0.166,0.013,0.146,0.193,0.001,0.001,371.0,584.0,1.01
v_signed_contrast,3.22,0.201,2.831,3.585,0.007,0.006,835.0,846.0,1.0
z_prevresp_cat[prev_right],0.016,0.026,-0.036,0.064,0.001,0.001,734.0,684.0,1.0
v_Intercept,-0.4,0.084,-0.546,-0.237,0.004,0.002,539.0,704.0,1.0
a,0.776,0.017,0.744,0.808,0.001,0.001,460.0,535.0,1.01
