,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.368,0.019,0.326,0.401,0.001,0.001,943.0,685.0,1.01
t,0.203,0.002,0.199,0.208,0.0,0.0,864.0,646.0,1.0
z_prevresp_cat[prev_right],0.031,0.02,-0.005,0.069,0.001,0.001,1022.0,820.0,1.01
v_signed_contrast,6.46,0.342,5.84,7.11,0.011,0.009,993.0,732.0,1.0
v_Intercept,1.753,0.091,1.582,1.913,0.004,0.002,672.0,500.0,1.0
a,0.593,0.01,0.575,0.614,0.0,0.0,842.0,765.0,1.0
