,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.572,0.012,0.55,0.596,0.001,0.0,581.0,602.0,1.01
t,0.158,0.007,0.143,0.171,0.0,0.0,503.0,510.0,1.01
v_signed_contrast,4.026,0.217,3.627,4.416,0.007,0.007,845.0,784.0,1.0
v_Intercept,-0.282,0.063,-0.398,-0.166,0.002,0.002,715.0,713.0,1.0
a,0.759,0.016,0.73,0.789,0.001,0.001,540.0,520.0,1.0
