,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.388,0.17,0.079,0.711,0.006,0.005,777.0,716.0,1.0
z_Intercept,0.304,0.015,0.278,0.334,0.001,0.0,549.0,511.0,1.01
t,0.16,0.003,0.154,0.165,0.0,0.0,357.0,684.0,1.01
v_signed_contrast,6.133,0.32,5.562,6.739,0.012,0.009,735.0,754.0,1.0
z_prevresp_cat[prev_right],0.011,0.017,-0.022,0.043,0.001,0.001,830.0,628.0,1.0
v_Intercept,-0.185,0.131,-0.427,0.061,0.005,0.004,665.0,592.0,1.01
a,0.587,0.012,0.566,0.611,0.0,0.0,589.0,709.0,1.0
