,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.443,0.026,0.39,0.487,0.001,0.001,879.0,800.0,1.0
t,0.203,0.004,0.194,0.211,0.0,0.0,533.0,533.0,1.01
z_prevresp_cat[prev_right],0.004,0.028,-0.052,0.051,0.001,0.001,915.0,617.0,1.0
v_signed_contrast,4.772,0.479,3.921,5.7,0.016,0.015,921.0,715.0,1.0
v_Intercept,0.854,0.122,0.632,1.098,0.005,0.004,626.0,597.0,1.0
a,0.517,0.016,0.489,0.548,0.001,0.0,470.0,560.0,1.01
