,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],-0.006,0.101,-0.183,0.188,0.004,0.003,834.0,762.0,1.01
z_Intercept,0.628,0.014,0.601,0.652,0.001,0.0,532.0,602.0,1.01
t,0.207,0.006,0.196,0.22,0.0,0.0,585.0,412.0,1.01
v_signed_contrast,5.217,0.247,4.755,5.701,0.01,0.008,652.0,603.0,1.01
v_Intercept,0.217,0.093,0.059,0.398,0.004,0.003,650.0,616.0,1.0
a,0.764,0.015,0.737,0.793,0.001,0.0,618.0,633.0,1.0
