,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v_prevresp_cat[prev_right],0.988,0.183,0.653,1.333,0.006,0.005,870.0,717.0,1.0
z_Intercept,0.346,0.015,0.315,0.372,0.001,0.0,755.0,816.0,1.0
t,0.136,0.002,0.133,0.14,0.0,0.0,628.0,477.0,1.01
v_signed_contrast,5.515,0.38,4.794,6.23,0.015,0.01,610.0,686.0,1.0
z_prevresp_cat[prev_right],-0.022,0.019,-0.058,0.013,0.001,0.0,703.0,840.0,1.0
v_Intercept,0.761,0.142,0.459,0.992,0.005,0.004,874.0,799.0,1.0
a,0.491,0.009,0.475,0.508,0.0,0.0,677.0,665.0,1.0
