,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
ddma,0,-378.8377926691144,10.802082600270126,0.0,0.25,36.88711990341236,0.0,True,log
ddmb,1,-380.7866564208399,13.043778325929452,1.948863751725459,0.25,37.0387730694034,0.5683988096336167,False,log
ddmd,2,-382.903445466344,16.379131504609973,4.065652797229587,0.25,37.430223208881564,1.6777839130948062,True,log
ddmc,3,,,,0.25,,,False,log
