,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.492,0.012,0.468,0.512,0.001,0.0,493.0,510.0,1.0
t,0.172,0.005,0.163,0.181,0.0,0.0,709.0,717.0,1.01
v_signed_contrast,5.719,0.249,5.252,6.166,0.009,0.008,842.0,701.0,1.0
v_Intercept,0.217,0.066,0.099,0.345,0.003,0.002,528.0,618.0,1.0
a,0.792,0.016,0.763,0.821,0.001,0.0,650.0,741.0,1.0
