,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
ddmb,0,-479.0956565963896,10.716856196338199,0.0,0.600855768085106,37.470952370754105,0.0,True,log
ddmd,1,-479.42558261772683,12.797709485446887,0.3299260213372417,0.0,37.417089946721646,2.008481053256575,True,log
ddmc,2,-480.59098066018134,11.681534675496152,1.4953240637918865,0.3991442319148966,37.122274333324775,3.8336944533852666,True,log
ddma,3,-486.3718882180222,9.621447082622012,7.276231621632677,0.0,37.08835050552451,4.042856733405814,True,log
