,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_Intercept,0.446,0.016,0.419,0.477,0.001,0.0,868.0,779.0,1.01
t,0.192,0.003,0.186,0.199,0.0,0.0,906.0,681.0,1.0
z_prevresp_cat[prev_right],-0.011,0.019,-0.046,0.022,0.001,0.001,1190.0,621.0,1.0
v_signed_contrast,7.013,0.334,6.435,7.633,0.01,0.008,1068.0,879.0,1.0
v_Intercept,0.285,0.079,0.141,0.428,0.003,0.002,739.0,709.0,1.0
a,0.64,0.012,0.616,0.66,0.0,0.0,957.0,782.0,1.0
