Model,WAIC,LOO
Model1,-9714.407062456135,-9716.828075377518
Model2,-9620.664911924936,-9622.767719545402
Model3,-9674.64490360323,-9676.94643836202
Model4,-9606.133370423098,-9608.860283393646
