,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.611,0.007,0.599,0.624,0.0,0.0,358.0,477.0,1.01
1,p_outlier,0.086,0.009,0.068,0.103,0.0,0.0,706.0,1146.0,1.0
2,t,0.155,0.001,0.153,0.158,0.0,0.0,458.0,633.0,1.01
3,v_Intercept,0.672,0.126,0.438,0.915,0.006,0.004,500.0,954.0,1.01
4,v_prevresp,0.417,0.148,0.123,0.692,0.005,0.004,747.0,1257.0,1.0
5,v_signed_contrast,0.06,0.002,0.056,0.064,0.0,0.0,373.0,271.0,1.01
6,z_Intercept,0.424,0.016,0.394,0.454,0.001,0.001,517.0,936.0,1.01
7,z_prevresp,-0.01,0.022,-0.052,0.032,0.001,0.001,480.0,387.0,1.01
