,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.945,0.025,0.897,0.992,0.0,0.0,11906.0,13895.0,1.0
1,p_outlier,0.071,0.015,0.043,0.098,0.0,0.0,15207.0,15939.0,1.0
2,t,0.014,0.009,0.0,0.029,0.0,0.0,8531.0,7785.0,1.0
3,v_Intercept,0.225,0.091,0.055,0.398,0.001,0.001,17330.0,16629.0,1.0
4,v_prevresp,0.032,0.109,-0.167,0.241,0.001,0.001,17564.0,16451.0,1.0
5,v_signed_contrast,0.023,0.002,0.02,0.026,0.0,0.0,22186.0,16253.0,1.0
6,z_Intercept,0.473,0.022,0.432,0.514,0.0,0.0,17629.0,17228.0,1.0
7,z_prevresp,0.062,0.027,0.012,0.114,0.0,0.0,17444.0,17087.0,1.0
