,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.9,0.021,0.861,0.94,0.0,0.0,18970.0,16880.0,1.0
1,p_outlier,0.082,0.011,0.062,0.104,0.0,0.0,22054.0,15988.0,1.0
2,t,0.032,0.007,0.019,0.044,0.0,0.0,17348.0,11063.0,1.0
3,v_Intercept,0.351,0.102,0.162,0.546,0.001,0.001,17387.0,16608.0,1.0
4,v_prevresp,0.113,0.117,-0.113,0.332,0.001,0.001,19301.0,16740.0,1.0
5,v_signed_contrast,0.032,0.002,0.029,0.035,0.0,0.0,23042.0,17547.0,1.0
6,z_Intercept,0.496,0.023,0.454,0.539,0.0,0.0,17399.0,16417.0,1.0
7,z_prevresp,0.03,0.026,-0.021,0.078,0.0,0.0,20041.0,17878.0,1.0
