,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.572,0.005,0.562,0.581,0.001,0.001,33.0,68.0,1.17
1,p_outlier,0.067,0.008,0.052,0.082,0.001,0.0,178.0,329.0,1.03
2,t,0.103,0.001,0.1,0.104,0.0,0.0,44.0,86.0,1.09
3,v_Intercept,-1.717,0.1,-1.905,-1.521,0.013,0.009,59.0,303.0,1.06
4,v_prevresp,0.503,0.131,0.261,0.743,0.011,0.008,134.0,371.0,1.02
5,v_signed_contrast,0.041,0.002,0.037,0.044,0.0,0.0,28.0,76.0,1.1
6,z_Intercept,0.538,0.009,0.52,0.552,0.002,0.002,20.0,74.0,1.18
7,z_prevresp,0.062,0.009,0.048,0.081,0.002,0.002,19.0,82.0,1.16
