,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.658,0.015,0.63,0.686,0.0,0.0,12857.0,11761.0,1.0
1,p_outlier,0.045,0.008,0.031,0.062,0.0,0.0,18397.0,15770.0,1.0
2,t,0.026,0.005,0.017,0.036,0.0,0.0,10789.0,5176.0,1.0
3,v_Intercept,-0.676,0.102,-0.875,-0.489,0.001,0.001,18379.0,17105.0,1.0
4,v_prevresp,0.108,0.143,-0.152,0.379,0.001,0.001,20140.0,18203.0,1.0
5,v_signed_contrast,0.029,0.002,0.026,0.032,0.0,0.0,23095.0,16299.0,1.0
6,z_Intercept,0.483,0.017,0.453,0.515,0.0,0.0,17416.0,16797.0,1.0
7,z_prevresp,0.066,0.026,0.016,0.115,0.0,0.0,19396.0,17613.0,1.0
