,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.683,0.013,0.659,0.708,0.0,0.0,2421.0,2776.0,1.0
1,p_outlier,0.166,0.015,0.139,0.196,0.0,0.0,2703.0,3403.0,1.0
2,t,0.136,0.004,0.129,0.142,0.0,0.0,1874.0,2327.0,1.0
3,v_Intercept,-0.091,0.12,-0.314,0.135,0.002,0.002,2451.0,3526.0,1.0
4,v_prevresp,-0.007,0.145,-0.293,0.256,0.003,0.002,1955.0,2758.0,1.0
5,v_signed_contrast,0.027,0.002,0.024,0.031,0.0,0.0,2474.0,5034.0,1.0
6,z_Intercept,0.5,0.021,0.461,0.539,0.0,0.0,2348.0,4179.0,1.0
7,z_prevresp,0.04,0.028,-0.012,0.092,0.001,0.0,1994.0,3224.0,1.0
