,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.572,0.009,0.555,0.59,0.001,0.0,266.0,366.0,1.02
1,p_outlier,0.108,0.014,0.082,0.134,0.001,0.0,670.0,1285.0,1.01
2,t,0.122,0.002,0.119,0.126,0.0,0.0,239.0,382.0,1.02
3,v_Intercept,-0.534,0.162,-0.842,-0.224,0.01,0.007,250.0,441.0,1.0
4,v_prevresp,0.779,0.187,0.448,1.149,0.011,0.008,303.0,621.0,1.02
5,v_signed_contrast,0.042,0.003,0.037,0.046,0.0,0.0,379.0,469.0,1.01
6,z_Intercept,0.502,0.023,0.46,0.548,0.002,0.001,165.0,362.0,1.01
7,z_prevresp,0.041,0.03,-0.014,0.099,0.003,0.002,123.0,224.0,1.06
