,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.585,0.009,0.567,0.602,0.0,0.0,1209.0,1678.0,1.01
1,p_outlier,0.064,0.011,0.044,0.084,0.0,0.0,1807.0,2699.0,1.0
2,t,0.119,0.002,0.115,0.122,0.0,0.0,1184.0,1274.0,1.01
3,v_Intercept,-0.375,0.138,-0.644,-0.133,0.004,0.003,1160.0,1884.0,1.0
4,v_prevresp,0.233,0.17,-0.08,0.556,0.005,0.003,1338.0,2254.0,1.0
5,v_signed_contrast,0.031,0.002,0.027,0.035,0.0,0.0,1542.0,1728.0,1.0
6,z_Intercept,0.465,0.021,0.431,0.505,0.001,0.0,1100.0,2617.0,1.0
7,z_prevresp,0.009,0.029,-0.046,0.064,0.001,0.001,1231.0,1583.0,1.0
