,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.457,0.008,0.442,0.472,0.0,0.0,19038.0,16583.0,1.0
1,p_outlier,0.027,0.005,0.017,0.037,0.0,0.0,23597.0,15433.0,1.0
2,t,0.167,0.001,0.164,0.169,0.0,0.0,19127.0,12955.0,1.0
3,v_Intercept,0.2,0.14,-0.063,0.461,0.001,0.001,19100.0,17694.0,1.0
4,v_prevresp,0.082,0.158,-0.222,0.374,0.001,0.001,20265.0,17291.0,1.0
5,v_signed_contrast,0.063,0.003,0.058,0.068,0.0,0.0,20988.0,18211.0,1.0
6,z_Intercept,0.544,0.017,0.513,0.576,0.0,0.0,18670.0,17479.0,1.0
7,z_prevresp,0.041,0.02,0.004,0.078,0.0,0.0,19566.0,17977.0,1.0
