,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.932,0.019,0.897,0.967,0.0,0.0,18527.0,17526.0,1.0
1,p_outlier,0.037,0.01,0.019,0.055,0.0,0.0,22182.0,16742.0,1.0
2,t,0.012,0.007,0.0,0.023,0.0,0.0,10894.0,6991.0,1.0
3,v_Intercept,-0.146,0.072,-0.278,-0.007,0.001,0.0,19948.0,17906.0,1.0
4,v_prevresp,0.011,0.106,-0.192,0.207,0.001,0.001,17488.0,16853.0,1.0
5,v_signed_contrast,0.023,0.002,0.021,0.026,0.0,0.0,22558.0,16033.0,1.0
6,z_Intercept,0.423,0.016,0.392,0.453,0.0,0.0,20579.0,18023.0,1.0
7,z_prevresp,0.065,0.024,0.021,0.11,0.0,0.0,19922.0,17904.0,1.0
