,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.564,0.009,0.547,0.582,0.0,0.0,704.0,1298.0,1.01
1,p_outlier,0.097,0.011,0.076,0.117,0.0,0.0,900.0,1280.0,1.0
2,t,0.107,0.003,0.102,0.112,0.0,0.0,413.0,450.0,1.01
3,v_Intercept,1.042,0.151,0.768,1.325,0.006,0.004,691.0,800.0,1.01
4,v_prevresp,0.361,0.163,0.055,0.668,0.006,0.005,688.0,1187.0,1.0
5,v_signed_contrast,0.027,0.002,0.024,0.031,0.0,0.0,847.0,1183.0,1.01
6,z_Intercept,0.365,0.021,0.323,0.404,0.001,0.001,747.0,494.0,1.01
7,z_prevresp,0.079,0.026,0.029,0.124,0.001,0.001,738.0,1215.0,1.01
