,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.899,0.021,0.86,0.939,0.0,0.0,18367.0,17193.0,1.0
1,p_outlier,0.082,0.011,0.061,0.104,0.0,0.0,23138.0,16547.0,1.0
2,t,0.032,0.007,0.019,0.044,0.0,0.0,16360.0,11293.0,1.0
3,v_Intercept,0.352,0.103,0.154,0.542,0.001,0.001,18408.0,17143.0,1.0
4,v_prevresp,0.112,0.119,-0.117,0.332,0.001,0.001,20628.0,16444.0,1.0
5,v_signed_contrast,0.032,0.002,0.029,0.035,0.0,0.0,21736.0,17106.0,1.0
6,z_Intercept,0.496,0.023,0.452,0.537,0.0,0.0,18474.0,17115.0,1.0
7,z_prevresp,0.03,0.026,-0.018,0.08,0.0,0.0,20755.0,17667.0,1.0
