,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.554,0.009,0.536,0.571,0.0,0.0,350.0,910.0,1.02
1,p_outlier,0.068,0.008,0.052,0.082,0.0,0.0,621.0,1114.0,1.0
2,t,0.117,0.003,0.111,0.123,0.0,0.0,207.0,421.0,1.03
3,v_Intercept,-0.984,0.119,-1.198,-0.762,0.007,0.005,255.0,436.0,1.01
4,v_prevresp,-0.0,0.163,-0.309,0.291,0.007,0.005,501.0,728.0,1.01
5,v_signed_contrast,0.036,0.002,0.033,0.04,0.0,0.0,261.0,332.0,1.01
6,z_Intercept,0.482,0.017,0.45,0.507,0.001,0.001,293.0,705.0,1.01
7,z_prevresp,0.053,0.027,0.004,0.102,0.001,0.001,362.0,390.0,1.01
