,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.572,0.006,0.56,0.584,0.001,0.001,19.0,43.0,1.15
1,p_outlier,0.066,0.008,0.053,0.081,0.001,0.001,75.0,227.0,1.07
2,t,0.103,0.001,0.1,0.105,0.0,0.0,19.0,30.0,1.16
3,v_Intercept,-1.685,0.103,-1.886,-1.496,0.019,0.013,31.0,117.0,1.1
4,v_prevresp,0.504,0.157,0.247,0.828,0.04,0.032,17.0,22.0,1.18
5,v_signed_contrast,0.04,0.002,0.037,0.043,0.0,0.0,16.0,129.0,1.17
6,z_Intercept,0.535,0.011,0.507,0.551,0.004,0.003,7.0,23.0,1.52
7,z_prevresp,0.06,0.02,0.012,0.093,0.009,0.007,6.0,12.0,1.87
