,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.628,0.013,0.605,0.652,0.0,0.0,7635.0,8666.0,1.0
1,p_outlier,0.066,0.009,0.05,0.083,0.0,0.0,12756.0,11592.0,1.0
2,t,0.062,0.004,0.054,0.069,0.0,0.0,6793.0,12436.0,1.0
3,v_Intercept,0.002,0.11,-0.206,0.21,0.001,0.001,12213.0,11280.0,1.0
4,v_prevresp,0.233,0.136,-0.014,0.496,0.001,0.001,13801.0,13581.0,1.0
5,v_signed_contrast,0.029,0.002,0.026,0.032,0.0,0.0,14324.0,13246.0,1.0
6,z_Intercept,0.515,0.018,0.481,0.549,0.0,0.0,11675.0,12110.0,1.0
7,z_prevresp,0.065,0.024,0.019,0.109,0.0,0.0,13272.0,13488.0,1.0
