,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.945,0.025,0.896,0.992,0.0,0.0,11540.0,13967.0,1.0
1,p_outlier,0.07,0.015,0.043,0.099,0.0,0.0,14962.0,15337.0,1.0
2,t,0.015,0.009,0.0,0.03,0.0,0.0,9155.0,8294.0,1.0
3,v_Intercept,0.227,0.09,0.059,0.397,0.001,0.001,15106.0,16830.0,1.0
4,v_prevresp,0.029,0.109,-0.177,0.232,0.001,0.001,16846.0,16206.0,1.0
5,v_signed_contrast,0.023,0.002,0.02,0.026,0.0,0.0,18710.0,16584.0,1.0
6,z_Intercept,0.473,0.022,0.432,0.514,0.0,0.0,16325.0,16533.0,1.0
7,z_prevresp,0.063,0.027,0.011,0.113,0.0,0.0,17406.0,16875.0,1.0
