,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.58,0.013,0.556,0.603,0.002,0.002,28.0,137.0,1.09
1,p_outlier,0.056,0.01,0.039,0.077,0.002,0.002,26.0,79.0,1.1
2,t,0.088,0.009,0.079,0.105,0.003,0.002,19.0,81.0,1.15
3,v_Intercept,0.516,0.141,0.237,0.768,0.021,0.015,49.0,169.0,1.06
4,v_prevresp,0.234,0.151,-0.058,0.509,0.002,0.002,4980.0,8166.0,1.0
5,v_signed_contrast,0.04,0.002,0.036,0.044,0.0,0.0,27.0,74.0,1.1
6,z_Intercept,0.415,0.027,0.371,0.469,0.007,0.005,21.0,95.0,1.13
7,z_prevresp,0.064,0.024,0.019,0.109,0.0,0.0,2408.0,6593.0,1.01
