,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.892,0.02,0.856,0.929,0.0,0.0,18920.0,17265.0,1.0
1,p_outlier,0.064,0.01,0.046,0.083,0.0,0.0,20297.0,15827.0,1.0
2,t,0.066,0.008,0.053,0.08,0.0,0.0,15590.0,14376.0,1.0
3,v_Intercept,-0.224,0.083,-0.383,-0.071,0.001,0.0,17397.0,17404.0,1.0
4,v_prevresp,0.19,0.106,-0.017,0.383,0.001,0.001,21017.0,17378.0,1.0
5,v_signed_contrast,0.028,0.001,0.026,0.031,0.0,0.0,22197.0,16901.0,1.0
6,z_Intercept,0.39,0.015,0.362,0.42,0.0,0.0,16498.0,17299.0,1.0
7,z_prevresp,-0.009,0.022,-0.049,0.032,0.0,0.0,20219.0,17926.0,1.0
