,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,1.127,0.024,1.083,1.172,0.0,0.0,21752.0,16238.0,1.0
1,p_outlier,0.078,0.015,0.051,0.106,0.0,0.0,24921.0,16337.0,1.0
2,t,0.006,0.005,0.0,0.014,0.0,0.0,14865.0,10054.0,1.0
3,v_Intercept,-0.163,0.079,-0.31,-0.012,0.001,0.0,23412.0,17600.0,1.0
4,v_prevresp,0.416,0.099,0.228,0.6,0.001,0.0,21911.0,17327.0,1.0
5,v_signed_contrast,0.028,0.002,0.025,0.031,0.0,0.0,21196.0,17886.0,1.0
6,z_Intercept,0.551,0.021,0.511,0.589,0.0,0.0,23176.0,17621.0,1.0
7,z_prevresp,-0.074,0.028,-0.126,-0.021,0.0,0.0,21401.0,17901.0,1.0
