,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,a,0.572,0.01,0.554,0.59,0.001,0.0,257.0,422.0,1.01
1,p_outlier,0.108,0.015,0.081,0.136,0.001,0.001,389.0,479.0,1.01
2,t,0.122,0.002,0.119,0.126,0.0,0.0,260.0,298.0,1.01
3,v_Intercept,-0.523,0.162,-0.859,-0.229,0.01,0.007,268.0,453.0,1.01
4,v_prevresp,0.757,0.188,0.42,1.128,0.01,0.007,340.0,552.0,1.01
5,v_signed_contrast,0.042,0.003,0.037,0.046,0.0,0.0,458.0,809.0,1.02
6,z_Intercept,0.503,0.022,0.465,0.543,0.001,0.001,216.0,455.0,1.02
7,z_prevresp,0.042,0.028,-0.012,0.092,0.002,0.001,233.0,626.0,1.01
