,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
415,beta_1|participant_id[63],0.029,0.27,-0.477,0.461,0.009,0.006,939.0,1020.0,
416,beta_1|participant_id[64],-0.0,0.258,-0.458,0.399,0.009,0.006,874.0,1009.0,
417,beta_1|participant_id[65],-0.066,0.309,-0.58,0.346,0.009,0.007,1050.0,1031.0,
418,beta_1|participant_id[66],0.005,0.226,-0.429,0.415,0.008,0.005,928.0,934.0,
419,beta_1|participant_id[67],0.004,0.244,-0.408,0.463,0.007,0.006,1096.0,937.0,
420,beta_1|participant_id[68],-0.001,0.233,-0.372,0.475,0.007,0.005,943.0,951.0,
421,beta_1|participant_id[69],0.003,0.259,-0.558,0.396,0.008,0.007,933.0,975.0,
422,a_1|participant_id[1],-0.268,0.229,-0.677,0.185,0.007,0.005,997.0,1040.0,
423,a_1|participant_id[2],0.549,0.277,0.024,1.079,0.009,0.006,938.0,881.0,
424,a_1|participant_id[3],0.258,0.312,-0.327,0.849,0.01,0.007,1006.0,944.0,
425,a_1|participant_id[4],-0.491,0.267,-1.017,-0.01,0.009,0.006,954.0,859.0,
426,a_1|participant_id[5],0.484,0.32,-0.042,1.176,0.01,0.007,984.0,951.0,
427,a_1|participant_id[6],-0.197,0.301,-0.731,0.375,0.01,0.007,904.0,1031.0,
428,a_1|participant_id[7],0.285,0.234,-0.174,0.715,0.008,0.006,930.0,889.0,
429,a_1|participant_id[8],0.826,0.304,0.248,1.386,0.01,0.007,971.0,990.0,
430,a_1|participant_id[9],0.53,0.278,0.045,1.111,0.009,0.006,956.0,941.0,
431,a_1|participant_id[10],0.676,0.278,0.144,1.192,0.009,0.006,946.0,876.0,
432,a_1|participant_id[11],0.182,0.289,-0.376,0.702,0.009,0.007,936.0,834.0,
433,a_1|participant_id[12],0.643,0.253,0.211,1.164,0.008,0.006,933.0,929.0,
434,a_1|participant_id[13],0.273,0.287,-0.304,0.776,0.009,0.007,956.0,944.0,
435,a_1|participant_id[14],-0.957,0.253,-1.42,-0.47,0.009,0.006,871.0,955.0,
436,a_1|participant_id[15],-0.554,0.273,-1.046,-0.007,0.009,0.007,833.0,871.0,
437,a_1|participant_id[16],-0.253,0.263,-0.745,0.253,0.009,0.006,926.0,1001.0,
438,a_1|participant_id[17],-0.219,0.265,-0.695,0.309,0.009,0.006,953.0,948.0,
439,a_1|participant_id[18],0.631,0.271,0.054,1.097,0.009,0.006,962.0,868.0,
440,a_1|participant_id[19],0.368,0.257,-0.139,0.822,0.009,0.006,902.0,817.0,
441,a_1|participant_id[20],0.115,0.422,-0.709,0.859,0.013,0.009,1079.0,1023.0,
442,a_1|participant_id[21],0.181,0.272,-0.315,0.69,0.009,0.006,896.0,733.0,
443,a_1|participant_id[22],0.322,0.25,-0.128,0.793,0.008,0.006,989.0,980.0,
444,a_1|participant_id[23],0.19,0.251,-0.28,0.662,0.008,0.006,923.0,850.0,
445,a_1|participant_id[24],0.21,0.259,-0.285,0.703,0.008,0.006,941.0,984.0,
446,a_1|participant_id[25],0.446,0.327,-0.203,1.018,0.01,0.007,1005.0,811.0,
447,a_1|participant_id[26],-0.144,0.281,-0.729,0.341,0.009,0.006,1024.0,981.0,
448,a_1|participant_id[27],-0.32,0.24,-0.818,0.096,0.008,0.006,937.0,1020.0,
449,a_1|participant_id[28],-0.035,0.285,-0.549,0.496,0.009,0.007,946.0,983.0,
450,a_1|participant_id[29],0.322,0.269,-0.247,0.78,0.009,0.006,982.0,992.0,
451,a_1|participant_id[30],0.977,0.274,0.467,1.508,0.009,0.006,916.0,905.0,
452,a_1|participant_id[31],-0.075,0.278,-0.607,0.419,0.009,0.006,977.0,1015.0,
