,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
644,z_1|participant_id_offset[10],-0.67,0.7,-1.838,0.686,0.022,0.016,1049.0,955.0,
645,z_1|participant_id_offset[11],0.151,0.651,-1.008,1.393,0.021,0.015,1010.0,979.0,
646,z_1|participant_id_offset[12],0.553,0.745,-0.777,1.928,0.024,0.019,930.0,889.0,
647,z_1|participant_id_offset[13],-0.403,0.971,-2.312,1.34,0.031,0.024,979.0,898.0,
648,z_1|participant_id_offset[14],1.813,0.634,0.638,2.985,0.02,0.014,954.0,930.0,
649,z_1|participant_id_offset[15],-0.593,0.812,-2.026,0.918,0.028,0.02,864.0,903.0,
650,z_1|participant_id_offset[16],-0.332,0.782,-1.925,1.121,0.026,0.018,932.0,898.0,
651,z_1|participant_id_offset[17],2.635,0.846,1.157,4.183,0.027,0.019,1004.0,875.0,
652,z_1|participant_id_offset[18],0.29,0.675,-0.95,1.535,0.021,0.016,1013.0,941.0,
653,z_1|participant_id_offset[19],0.821,0.677,-0.587,1.978,0.021,0.016,1009.0,1026.0,
654,z_1|participant_id_offset[20],0.144,1.091,-1.723,2.426,0.037,0.026,878.0,1031.0,
655,z_1|participant_id_offset[21],-0.83,0.949,-2.573,0.936,0.033,0.023,852.0,682.0,
656,z_1|participant_id_offset[22],-1.281,0.851,-2.895,0.239,0.027,0.02,984.0,858.0,
657,z_1|participant_id_offset[23],-0.488,0.873,-2.132,1.074,0.029,0.021,884.0,952.0,
658,z_1|participant_id_offset[24],-0.402,0.691,-1.693,0.889,0.024,0.017,858.0,908.0,
659,z_1|participant_id_offset[25],1.168,0.989,-0.676,2.893,0.031,0.024,962.0,1013.0,
660,z_1|participant_id_offset[26],1.167,0.852,-0.442,2.71,0.029,0.02,881.0,944.0,
661,z_1|participant_id_offset[27],0.351,0.77,-1.177,1.67,0.024,0.018,1025.0,914.0,
662,z_1|participant_id_offset[28],0.134,0.754,-1.303,1.519,0.025,0.018,907.0,865.0,
663,z_1|participant_id_offset[29],1.155,0.622,0.019,2.292,0.019,0.013,1093.0,1060.0,
664,z_1|participant_id_offset[30],-0.321,0.827,-1.888,1.192,0.031,0.022,713.0,873.0,
665,z_1|participant_id_offset[31],-0.721,0.782,-2.147,0.752,0.025,0.018,985.0,791.0,
666,z_1|participant_id_offset[32],0.436,0.549,-0.609,1.381,0.02,0.014,789.0,884.0,
667,z_1|participant_id_offset[33],0.617,0.652,-0.609,1.736,0.022,0.016,848.0,927.0,
668,z_1|participant_id_offset[34],-0.119,0.765,-1.375,1.547,0.025,0.017,967.0,1072.0,
669,z_1|participant_id_offset[35],-1.808,0.807,-3.406,-0.408,0.026,0.019,977.0,872.0,
670,z_1|participant_id_offset[36],-1.273,0.825,-2.802,0.255,0.029,0.021,794.0,1016.0,
671,z_1|participant_id_offset[37],-4.637,0.95,-6.56,-3.044,0.031,0.022,937.0,952.0,
672,z_1|participant_id_offset[38],1.54,0.646,0.331,2.752,0.021,0.015,975.0,945.0,
673,z_1|participant_id_offset[39],-0.862,0.656,-2.017,0.474,0.021,0.015,1020.0,944.0,
674,z_1|participant_id_offset[40],-1.246,0.904,-2.916,0.413,0.032,0.023,792.0,677.0,
675,z_1|participant_id_offset[41],1.756,0.674,0.507,2.968,0.021,0.015,1083.0,975.0,
676,z_1|participant_id_offset[42],-1.052,0.819,-2.69,0.393,0.027,0.019,889.0,919.0,
677,z_1|participant_id_offset[43],1.743,1.036,-0.363,3.417,0.034,0.024,915.0,914.0,
678,z_1|participant_id_offset[44],0.737,0.756,-0.652,2.132,0.024,0.018,958.0,868.0,
679,z_1|participant_id_offset[45],0.173,0.671,-1.0,1.567,0.022,0.016,920.0,975.0,
680,z_1|participant_id_offset[46],0.721,0.933,-0.887,2.58,0.031,0.022,897.0,915.0,
681,z_1|participant_id_offset[47],0.377,0.766,-1.083,1.833,0.023,0.016,1099.0,1016.0,
682,z_1|participant_id_offset[48],1.576,0.75,0.16,3.02,0.024,0.018,970.0,908.0,
683,z_1|participant_id_offset[49],-0.783,0.669,-2.009,0.557,0.023,0.016,821.0,846.0,
684,z_1|participant_id_offset[50],-1.228,0.69,-2.373,0.176,0.023,0.016,906.0,983.0,
685,z_1|participant_id_offset[51],-0.318,1.087,-2.366,1.588,0.036,0.025,921.0,906.0,
686,z_1|participant_id_offset[52],0.059,0.618,-1.184,1.167,0.02,0.014,990.0,940.0,
687,z_1|participant_id_offset[53],-1.7,0.672,-2.855,-0.321,0.024,0.017,796.0,786.0,
688,z_1|participant_id_offset[54],-1.584,0.748,-2.9,-0.151,0.024,0.017,1001.0,951.0,
689,z_1|participant_id_offset[55],0.468,0.614,-0.697,1.598,0.02,0.015,958.0,947.0,
690,z_1|participant_id_offset[56],0.109,0.653,-1.188,1.262,0.019,0.015,1157.0,1023.0,
691,z_1|participant_id_offset[57],-0.493,0.632,-1.67,0.688,0.021,0.015,907.0,1024.0,
692,z_1|participant_id_offset[58],-0.473,0.942,-2.253,1.339,0.031,0.022,940.0,906.0,
693,z_1|participant_id_offset[59],-0.092,0.739,-1.462,1.274,0.025,0.017,905.0,880.0,
694,z_1|participant_id_offset[60],1.933,0.797,0.546,3.56,0.028,0.02,830.0,944.0,
695,z_1|participant_id_offset[61],-0.319,0.752,-1.759,1.005,0.025,0.018,911.0,909.0,
696,z_1|participant_id_offset[62],-0.406,0.812,-2.005,0.973,0.027,0.019,902.0,736.0,
697,z_1|participant_id_offset[63],-0.387,0.615,-1.596,0.711,0.02,0.014,947.0,943.0,
698,z_1|participant_id_offset[64],-1.0,0.663,-2.18,0.296,0.021,0.015,1022.0,1017.0,
