,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
958,v_signed_contrast|participant_id[41],-0.276,0.373,-1.061,0.176,0.012,0.008,1070.0,967.0,
959,v_signed_contrast|participant_id[42],-0.132,0.349,-0.77,0.389,0.011,0.008,906.0,934.0,
960,v_signed_contrast|participant_id[43],-0.253,0.41,-0.933,0.274,0.013,0.009,919.0,839.0,
961,v_signed_contrast|participant_id[44],-0.159,0.358,-0.854,0.322,0.011,0.008,1092.0,849.0,
962,v_signed_contrast|participant_id[45],-0.185,0.371,-0.866,0.467,0.012,0.008,996.0,944.0,
963,v_signed_contrast|participant_id[46],-0.123,0.295,-0.727,0.371,0.009,0.007,1064.0,872.0,
964,v_signed_contrast|participant_id[47],-0.107,0.368,-0.644,0.536,0.012,0.009,901.0,857.0,
965,v_signed_contrast|participant_id[48],-0.135,0.338,-0.822,0.331,0.01,0.008,997.0,943.0,
966,v_signed_contrast|participant_id[49],-0.087,0.36,-0.749,0.581,0.011,0.008,1007.0,982.0,
967,v_signed_contrast|participant_id[50],-0.296,0.444,-1.119,0.126,0.014,0.01,1073.0,947.0,
968,v_signed_contrast|participant_id[51],-0.104,0.336,-0.774,0.399,0.011,0.008,946.0,983.0,
969,v_signed_contrast|participant_id[52],-0.1,0.358,-0.688,0.51,0.011,0.008,1123.0,1070.0,
970,v_signed_contrast|participant_id[53],-0.146,0.313,-0.865,0.26,0.011,0.007,852.0,901.0,
971,v_signed_contrast|participant_id[54],-0.126,0.335,-0.799,0.379,0.011,0.009,918.0,972.0,
972,v_signed_contrast|participant_id[55],-0.085,0.323,-0.642,0.528,0.011,0.008,934.0,922.0,
973,v_signed_contrast|participant_id[56],-0.094,0.328,-0.694,0.489,0.011,0.007,921.0,974.0,
974,v_signed_contrast|participant_id[57],-0.121,0.345,-0.713,0.525,0.011,0.008,1128.0,984.0,
975,v_signed_contrast|participant_id[58],-0.176,0.34,-0.772,0.397,0.011,0.008,1005.0,908.0,
976,v_signed_contrast|participant_id[59],-0.291,0.42,-1.108,0.169,0.013,0.009,991.0,1022.0,
977,v_signed_contrast|participant_id[60],-0.179,0.324,-0.912,0.257,0.011,0.008,875.0,897.0,
978,v_signed_contrast|participant_id[61],-0.194,0.379,-0.959,0.326,0.012,0.008,1068.0,1021.0,
979,v_signed_contrast|participant_id[62],-0.169,0.346,-0.831,0.484,0.01,0.007,1114.0,1080.0,
980,v_signed_contrast|participant_id[63],-0.192,0.35,-0.9,0.329,0.011,0.008,919.0,980.0,
981,v_signed_contrast|participant_id[64],-0.195,0.392,-0.971,0.401,0.012,0.009,1124.0,1042.0,
982,v_signed_contrast|participant_id[65],-0.123,0.399,-0.883,0.399,0.014,0.01,848.0,915.0,
983,v_signed_contrast|participant_id[66],-0.052,0.243,-0.487,0.347,0.008,0.006,1025.0,850.0,
984,v_signed_contrast|participant_id[67],-0.098,0.32,-0.781,0.462,0.01,0.007,985.0,895.0,
985,v_signed_contrast|participant_id[68],-0.074,0.323,-0.585,0.62,0.01,0.007,1029.0,901.0,
986,v_signed_contrast|participant_id[69],-0.074,0.271,-0.647,0.362,0.009,0.006,905.0,925.0,
987,v_signed_contrast|participant_id_mu,0.002,0.286,-0.547,0.536,0.01,0.007,828.0,709.0,
